速度与激情8 The Fate of the Furious,7.1,F·加里·格雷,范·迪塞尔 / 道恩·强森 / 查理兹·塞隆,动作 / 犯罪,美国,2017,267105,2017年4月14日,进口分账
捉妖记,6.7,许诚毅,白百何 / 井柏然 / 姜武,喜剧 / 奇幻 / 古装,中国大陆/香港,2015,243817,2015年7月16日,国产（合拍）
速度与激情7 Furious 7,8.3,温子仁,范·迪塞尔 / 保罗·沃克 / 杰森·斯坦森,动作 / 犯罪 / 惊悚,美国/中国大陆/日本,2015,241600,2015年4月12日,进口分账
复仇者联盟3：无限战争 Avengers: Infinity War,8.4,安东尼·罗素 / 乔·罗素,小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 克里斯·埃文斯,动作 / 科幻 / 奇幻 / 冒险,美国,2018,227772,2018年5月11日,进口分账（上映中……）
捉妖记2,5.0,许诚毅,梁朝伟 / 白百何 / 井柏然,喜剧 / 奇幻,中国大陆/香港,2018,223666,2018年2月16日,国产（合拍）
羞羞的铁拳,7.0,宋阳 / 张吃鱼,艾伦 / 马丽 / 沈腾,喜剧 / 奇幻,中国大陆,2017,221347,2017年09月30日,国产
变形金刚4：绝迹重生 Transformers: Age of Extinction,6.5,迈克尔·贝,马克·沃尔伯格 / 斯坦利·图齐 / 凯尔希·格兰莫,动作 / 科幻,美国/中国大陆,2014,197630,2014年6月27日,进口分账
前任3：再见前任,5.7,田羽生,韩庚 / 郑恺 / 于文文,喜剧 / 爱情,中国大陆,2017,194050,2017年12月29日,国产
功夫瑜伽,5.0,唐季礼,成龙 / 李治廷 / 张艺兴,喜剧 / 动作 / 冒险,中国大陆/印度,2017,175259,2017年1月28日,国产（合拍）
寻龙诀,7.5,乌尔善,陈坤 / 黄渤 / 舒淇,剧情 / 动作 / 奇幻 / 冒险,中国大陆/香港,2015,168036,2015年12月18日,国产
西游伏妖篇,5.5,徐克,吴亦凡 / 林更新 / 姚晨,喜剧 / 动作 / 奇幻 / 古装,中国大陆/香港,2017,165593,2017年1月28日,国产（合拍）
港囧,5.6,徐峥,徐峥 / 赵薇 / 包贝尔,喜剧,中国大陆,2015,161183,2015年9月25日,国产
变形金刚5：最后的骑士 Transformers: The Last Knight,5.0,迈克尔·贝,马克·沃尔伯格 / 伊莎贝拉·莫奈 / 劳拉·哈德克,动作 / 科幻,美国,2017,155126,2017年06月23日,进口分账
疯狂动物城 Zootopia,9.1,拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什,金妮弗·古德温 / 杰森·贝特曼 / 伊德里斯·艾尔巴,喜剧 / 动画 / 冒险,美国,2016,153061,2016年3月4日,进口分账
魔兽 Warcraft,7.7,邓肯·琼斯,崔维斯·费米尔 / 托比·凯贝尔 / 宝拉·巴顿,动作 / 奇幻 / 冒险,美国/中国大陆/加拿大/日本,2016,147194,2016年6月8日,进口分账
夏洛特烦恼,7.4,闫非 / 彭大魔,沈腾 / 马丽 / 尹正,喜剧 / 爱情,中国大陆,2015,144905,2015年9月30日,国产
复仇者联盟2：奥创纪元 Avengers: Age of Ultron,7.2,乔斯·韦登,小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 马克·鲁弗洛,动作 / 科幻 / 奇幻 / 冒险,美国,2015,142970,2015年5月12日,进口分账
芳华,7.8,冯小刚,黄轩 / 苗苗 / 钟楚曦,剧情 / 历史 / 战争,中国大陆,2017,142242,2017年12月15日,国产
头号玩家 Ready Player One,8.8,史蒂文·斯皮尔伯格,泰伊·谢里丹 /  奥利维亚·库克 / 本·门德尔森,动作 / 科幻 / 冒险,美国,2018,139533,2018年3月30日,进口分账
阿凡达 Avatar,8.6,詹姆斯·卡梅隆,萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗,动作 / 战争 / 科幻 / 冒险,美国/英国,2009,138249,2010年1月4日,进口分账
侏罗纪世界 Jurassic World,7.6,科林·特雷沃罗,克里斯·帕拉特 / 布莱丝·达拉斯·霍华德 / 文森特·多诺费奥,动作 / 科幻 / 冒险,美国/中国大陆,2015,138089,2015年6月10日,进口分账
后来的我们,5.8,刘若英,井柏然 / 周冬雨 / 田壮壮,剧情 / 爱情,中国大陆,2018,135531,2018年4月28日,国产（上映中……）
摔跤吧！爸爸 Dangal,9.1,涅提·蒂瓦里,阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔,剧情 / 传记 / 运动 / 家庭,印度,2016,129926,2017年05月05日,进口
人再囧途之泰囧,7.4,徐峥,徐峥 / 王宝强 / 黄渤,喜剧,中国大陆,2012,126739,2012年12月12日,国产
西游降魔篇,7.1,周星驰 / 郭子健,文章 / 舒淇 / 黄渤,喜剧 / 奇幻 / 冒险,中国大陆/香港,2013,124644,2013年2月10日,国产
美国队长3 Captain America: Civil War,7.7,安东尼·罗素 / 乔·罗素,克里斯·埃文斯 / 小罗伯特·唐尼 / 斯嘉丽·约翰逊,动作 / 科幻 / 冒险,美国,2016,124620,2016年5月6日,进口分账
寻梦环游记 Coco,9.1,李·昂克里奇 / 阿德里安·莫利纳,安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔 / 本杰明·布拉特,喜剧 / 动画 / 奇幻 / 音乐,美国,2017,121184,2017年11月24日,进口分账
西游记之孙悟空三打白骨精,5.6,郑保瑞,郭富城 / 巩俐 / 冯绍峰,喜剧 / 动作 / 奇幻,中国大陆/香港,2016,120180,2016年2月8日,国产
湄公河行动,8.0,林超贤,张涵予 / 彭于晏 / 孙淳,动作 / 犯罪,中国大陆/香港,2016,118521,2016年9月30日,国产（合拍）
加勒比海盗5：死无对证 Pirates of the Caribbean: Dead Men Tell No Tales,7.3,艾斯彭·山德伯格 / 乔阿吉姆·罗恩尼,约翰尼·德普 / 哈维尔·巴登 / 杰弗里·拉什,动作 / 奇幻 / 冒险,美国,2017,118008,2017年05月26日,进口分账
长城 The Great Wall,5.1,张艺谋,马特·达蒙 / 景甜 / 佩德罗·帕斯卡,动作 / 奇幻 / 冒险,中国大陆/美国,2016,117452,2016年12月16日,国产（合拍）
心花路放,7.0,宁浩,黄渤 / 徐峥 / 袁泉,喜剧 / 爱情,中国大陆,2014,117020,2014年9月30日,国产
金刚：骷髅岛 Kong: Skull Island,6.6,乔丹·沃格特-罗伯茨,汤姆·希德勒斯顿 / 布丽·拉尔森 / 塞缪尔·杰克逊,动作 / 奇幻 / 冒险,美国/中国大陆/澳大利亚/加拿大,2017,116050,2017年03月24日,进口分账
煎饼侠,5.9,大鹏,大鹏 / 袁姗姗 / 柳岩,喜剧,中国大陆,2015,115954,2015年7月17日,国产
极限特工3：终极回归 xXx: Return of Xander Cage,5.7,D·J·卡卢索,范·迪塞尔 / 甄子丹 / 迪皮卡·帕度柯妮,动作 / 冒险,美国,2017,112742,2017年1月20日,进口分账
澳门风云3 賭城風雲III,3.9,王晶 / 刘伟强,周润发 / 刘德华 / 张家辉,喜剧 / 动作,香港/中国大陆,2016,111880,2016年2月8日,国产（合拍）
生化危机：终章 Resident Evil: The Final Chapter,6.6,保罗·安德森,米拉·乔沃维奇 / 伊恩·格雷 / 艾丽·拉特,动作 / 科幻 / 恐怖,美国,2016,111182,2017年02月24日,进口
变形金刚3 Transformers: Dark of the Moon,7.0,迈克尔·贝,希亚·拉博夫 / 罗茜·汉丁顿-惠特莉 / 乔什·杜哈明,动作 / 科幻,美国,2011,108080,2011年7月21日,进口分账
乘风破浪,6.8,韩寒,邓超 / 彭于晏 / 赵丽颖,剧情 / 喜剧,中国大陆,2017,104852,2017年1月28日,国产
神偷奶爸3 Despicable Me 3,6.9,凯尔·巴尔达 / 皮埃尔·柯芬 / 埃里克·吉隆,史蒂夫·卡瑞尔 / 克里斯汀·韦格 / 崔·帕克,喜剧 / 动画 / 冒险,美国,2017,103787,2017年07月07日,进口分账
盗墓笔记,4.7,李仁港,井柏然 / 鹿晗 / 马思纯,悬疑 / 奇幻 / 冒险,中国大陆,2016,100426,2016年8月4日20点起,国产
功夫熊猫3 Kung Fu Panda 3,7.6,吕寅荣 / 亚历山德罗·卡罗尼,杰克·布莱克 / 布莱恩·科兰斯顿 / 达斯汀·霍夫曼,喜剧 / 动作 / 动画 / 冒险,美国/中国大陆,2016,100262,2016年1月29日,国产
西游记之大闹天宫,4.1,郑保瑞,甄子丹 / 周润发 / 郭富城,动作 / 奇幻,中国大陆/香港,2014,104467,2014年1月31日,国产
狂暴巨兽 Rampage,6.8,布拉德·佩顿,道恩·强森 / 娜奥米·哈里斯 / 杰弗里·迪恩·摩根,动作 / 科幻 / 冒险,美国,2018,99518,2018年4月13日,进口分账（上映中……）
奇幻森林 The Jungle Book,7.8,乔恩·费儒,尼尔·塞西 / 比尔·默瑞 / 本·金斯利,剧情 / 奇幻 / 冒险,美国,2016,97907,2016年4月15日,进口分账
澳门风云2 賭城風雲II,5.5,王晶 / 张敏,周润发 / 张家辉 / 刘嘉玲,喜剧 / 动作,香港/中国大陆,2015,97412,2015年2月19日,国产（合拍）
西游记之大圣归来,8.2,田晓鹏,张磊 / 林子杰 / 吴文伦,喜剧 / 动作 / 动画 / 奇幻,中国大陆,2015,95525,2015年7月10日（7月4日-5日全国点映）,国产
老炮儿,7.9,管虎,冯小刚 / 许晴 / 张涵予,剧情 / 犯罪,中国大陆,2015,90131,2015年12月24日,国产
智取威虎山,7.7,徐克,张涵予 / 梁家辉 / 林更新,动作 / 战争 / 冒险,中国大陆/香港,2014,89983,2014年12月23日（17点起）,国产（合拍）
绝地逃亡 Skiptrace,5.5,雷尼·哈林,成龙 / 范冰冰 / 约翰尼·诺克斯维尔,喜剧 / 动作,中国大陆/美国/香港,2016,88873,2016年7月21日,国产（合拍）
十二生肖,6.6,成龙,成龙 / 权相宇 / 廖凡,喜剧 / 动作 / 冒险,中国大陆/香港,2012,88110,2012年12月20日,国产（合拍）
碟中谍5：神秘国度 Mission: Impossible - Rogue Nation,7.7,克里斯托弗·麦奎里,汤姆·克鲁斯 / 杰瑞米·雷纳 / 西蒙·佩吉,动作 / 惊悚 / 冒险,美国/香港/中国大陆,2015,85557,2015年9月8日,进口分账
星球大战7：原力觉醒 Star Wars: The Force Awakens,7.1,J·J·艾布拉姆斯,黛西·雷德利 / 约翰·博耶加 / 哈里森·福特,动作 / 科幻 / 冒险,美国,2015,82551,2016年1月9日,进口分账
